M;Punto;C¢d.Prv.;Provincia;C¢d.Pais;Pa°s;C¢d.Ruta;Ruta;C¢d.Zona;Zona;C¢d.Cli.;Cliente;C¢d.Postal;C¢d.Pto.;Env.Serv.;C¢d.Contc.;Contacto;Ub.
FALSO;USINE DE LESGOR;;;;;;;;;;;;LESGR;;;;
FALSO;UTEBO;;;;;;;;;;;;UTEBO;;;;
FALSO;UTISA CHINCHILLA;;;;;;;;;;;;UTICH;;;;
FALSO;UTISA TERUEL;TE;TERUEL;;;;;;;;;;UTI;;;;
FALSO;UTISA VALENCIA;;;;;;;;;;;;UTISA;;;;
FALSO;UTISA-REKAR;;;;;;;;;;;;UTREC;;;;
FALSO;VALADARES(PT);;;;;;;;;;;;VALAD;;;;
FALSO;VALBOPAN, SA;;;;;;;;;;;;VALBO;;;;
FALSO;VALDEMORO;;;;;;;;;;;;VALD;;;;
FALSO;VALDEPE•AS;;;;;;;;;;;;VALDE;;;;
FALSO;VALDILECHA;;;;;;;;;;;;VALDI;;;;
FALSO;VALENCIA;V;VALENCIA;;;;;E;;;;;V;;;;
FALSO;VALENTIN HERRAN,SA;;;;;;;;;;;;VALEN;;;;
FALSO;VALGA;;;;;;;;;;;;VALGA;;;;
FALSO;VALLADOLID;VA;VALLADOLID;;;;;E;;;;;VA;;;;
FALSO;VALLADOLID-MADRID;;;;;;;;;;;;VALMA;;;;
FALSO;VALLADOLID/AVILA;;;;;;;;;;;;VALAV;;;;
FALSO;VALLADOLID/CORDOBA;;;;;;;;;;;;VACOR;;;;
FALSO;VALLMOLL;;;;;;;;;;;;VALLM;;;;
FALSO;VALTIERRA;NA;NAVARRA;;;;;;;;;;VALT;;;;
FALSO;VARESE(IT);;;;;;;;;;;;VARE;;;;
FALSO;VARIOS GALICIA;;;;;;;;;;;;9729;;;;
FALSO;VEJA (PT);;;;;;;;;;;;9715;;;;
FALSO;VENDAS NOVAS(PT);;;;;;;;;;;;VENDA;;;;
FALSO;VERA DE BIDASOA;;;;;;;;;;;;VERA;;;;
FALSO;VERIN;;;;;;;;;;;;VERIN;;;;
FALSO;VERONA(IT);;;;;;;;;;;;VERO;;;;
FALSO;VERVIT, SRL;;;;;;;;;;;;VERVI;;;;
FALSO;VIANA DO CASTELO;;;;;;;;;;;;VIANA;;;;
FALSO;VIC;;;;;;;;;;;;VIC;;;;
FALSO;VICOLOZANO;;;;;;;;;;;;VICOL;;;;
FALSO;VIDRERES;;;;;;;;;;;;VIDRE;;;;
FALSO;VIGO;PO;PONTEVEDRA;;;;;E;;;;;VIGO;;;;
FALSO;VIGO,SANTIAGO;;;;;;;;;;;;VIGSA;;;;
FALSO;VILA FRANCA DE XIRA;;;;;;;;;;;;VILAF;;;;
FALSO;VILA REAL;;;;;;;;;;;;VILA;;;;
FALSO;VILA REAL STO ANTONIO;;;;;;;;;;;;9721;;;;
FALSO;VILADECANS;;;;;;;;;;;;VILAD;;;;
FALSO;VILAGARCIA;;;;;;;;;;;;VILAG;;;;
FALSO;VILANOVA AROUSA;;;;;;;;;;;;VILAN;;;;
FALSO;VILANOVA CERVEIRA(PT);;;;;;;;;;;;CERV;;;;
FALSO;VILANOVA DA RAINHA;;;;;;;;;;;;9710;;;;
FALSO;VILANOVA DE SANTO;;;;;;;;;;;;9712;;;;
FALSO;VILANOVA FAMALICAO;;;;;;;;;;;;FAMAL;;;;
FALSO;VILANOVA GAIA;;;;;;;;;;;;GAIA;;;;
FALSO;VILARINHO(PT);;;;;;;;;;;;VILAR;;;;
FALSO;VILLABONA;;;;;;;;;;;;VILAB;;;;
FALSO;VILLABRAZARO;;;;;;;;;;;;VILLB;;;;
FALSO;VILLACA•AS;TO;TOLEDO;;;;;;;;;;VILLA;;;;
FALSO;VILLAGARCIA;PO;PONTEVEDRA;;;;;;;;;;2;;;;
FALSO;VILLALBA;;;;;;;;;;;;VIL;;;;
FALSO;VILLANUBLA;;;;;;;;;;;;NUBLA;;;;
FALSO;VILLAREJO;;;;;;;;;;;;VILL;;;;
FALSO;VILLATUERTA;;;;;;;;;;;;TUERT;;;;
FALSO;VILLAVICIOSA/SALAS;;;;;;;;;;;;VILSA;;;;
FALSO;VISEU;;;;;;;;;;;;VISEU;;;;
FALSO;VITORIA;VI;VITORIA;;;;;E;;;;;VI;;;;
FALSO;VIVEIRO;;;;;;;;;;;;VIVEI;;;;
FALSO;VIZCAYA;;;;;;;;;;;;VIZ;;;;
FALSO;VOLCALIS-ISOLAM.MINERAIS,SA;;;;;;;;;;;;VOCAL;;;;
FALSO;XILOFRANCE;;;;;;;;;;;;XILOF;;;;
FALSO;YFFINIAC (FR.);;;;;;;;;;;;YFFIN;;;;
FALSO;YUNCOS;TO;TOLEDO;;;;;;;;;;YUNCO;;;;
FALSO;ZAM.OR.TORD.SANT.PAMP;;;;;;;;;;;;1001;;;;
FALSO;ZAMORA;ZA;ZAMORA;;;;;;;;;;ZA;;;;
FALSO;ZAMORA-VALLADOLID;;;;;;;;;;;;ZAVAL;;;;
FALSO;ZAMUDIO;;;;;;;;;;;;ZAMUD;;;;
FALSO;ZARAGOZA;Z;ZARAGOZA;;;;;E;;;;;Z;;;;
FALSO;ZARAGOZA, BARCELONA;;;;;;;;;;;;ZARBA;;;;
FALSO;ZARAMILLO;;;;;;;;;;;;ZARAM;;;;
FALSO;ZARZALEJO;;;;;;;;;;;;ZARZA;;;;
FALSO;ZIERBANA;VI;VITORIA;;;;;;;;;;ZIERB;;;;
FALSO;ZNDS TABLEROS, S.L.;;;;;;;;;;;;ZNDS;;;;
FALSO;ZUERA;;;;;;;;;;;;ZUERA;;;;
FALSO;ZUMAIA;;;;;;;;;;;;ZUMAI;;;;
